Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
21.01.2021;26.01.2021;Princess Sirivannavari Thailand Masters 2021;Rangliste;;THA;Bangkok;;;BWF;HSBC BWF World Tour Super 300;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
23.01.2021;26.01.2021;RSL Iceland International 2021;Rangliste;;ISL;Reykjavík;;;BWF;Future Series;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
24.01.2021;26.01.2021;Swedish Junior 2021;Rangliste;;SWE;Uppsala;;;BWF;Junior International Series;;;;nein;;;;;;Einzel/Doppel/Mixed;;;
24.01.2021;26.01.2021;Swedish U17 International;Rangliste;;NN;Uppsala;;;BEC;BEC-U17;;;;nein;;;;;Einzel/Doppel/Mixed;;;;
25.01.2021;26.01.2021;1. D-RLT HES Bezirk Wiesbaden U11-U19;Rangliste;1;DE;Wiesbaden;Bezirk Wiesbaden;;HES;D1-Level;17.01.2021;https://www.turnier.de/sport/tournament?id=1F6121C1-5ABF-4FC4-B817-B3337C870C2A;;ja;;Einzel;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
25.01.2021;25.01.2021; D-RLT SAH  U11 (Landesrangliste);Rangliste;;DE;06124 Halle/Saale;;Landesrangliste;SAH;E-Level;18.01.2021;;;ja;;Einzel/Doppel;;;;;;;
25.01.2021;25.01.2021; D-RLT SAH  U19 (Landesrangliste);Rangliste;;DE;06124 Halle/Saale;;Landesrangliste;SAH;E-Level;18.01.2021;;;ja;;;;;;Einzel/Doppel;;;
25.01.2021;26.01.2021;1. B-RLT Nord U13/U15;Rangliste;1;DE;Hamburg (HAM);;;GRN;B-Level;07.01.2021;https://www.turnier.de/sport/tournament?id=247EFD93-C443-4CD7-8754-4A3BE921037F;https://cloud.badminton.de/index.php/s/0577WAEh1SnPNkt;nein;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;;;
25.01.2021;25.01.2021;1. C-RLT THÜ U11;Rangliste;1;DE;Gera;;;THÜ;D1-Level;11.01.2021;https://www.turnier.de/sport/tournament?id=5344725E-D920-4A8D-BCED-590EC0299E32;;ja;;Einzel/Doppel;;;;;;;
26.01.2021;26.01.2021;1. C-RLT SAC U15;Rangliste;1;DE;SH Christliches Gymnasium Johanneum, Fischerstr. 5, 02977 Hoyerswerda;;;SAC;C2-Level;05.01.2021;https://www.turnier.de/sport/tournament?id=B0952C6A-0A5E-4FD4-810B-F1D40F07C273;;ja;;;;Einzel/Doppel;;;;;
30.01.2021;02.02.2021; Deutsche Meisterschaften O19;Meisterschaft;;DE;Bielefeld;;;DBV;A-Level;;;;ja;;;;;;;;Einzel/Doppel/Mixed;
01.02.2021;02.02.2021;1. B-RLT Mitte U15/U17;Rangliste;1;DE;Jügesheim, HES;;;GRM;B-Level;14.01.2021;;;ja;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;;
01.02.2021;02.02.2021;1. C-RLT NRW U11-U19 (1. Verbands- DRLT Süd 1);Rangliste;1;DE;Solingen;Süd 1;1. Verbands- DRLT Süd 1;NRW;C1-Level;21.01.2021;https://www.turnier.de/sport/tournament?id=3F8C8ACD-A2F6-406D-AE1E-A7E80952804A;;ja;;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;;;
01.02.2021;01.02.2021; E-RLT BAY Unterfranken U11-U17;Rangliste;;DE;Bad Königshofen;Unterfranken;;BAY;E-Level;21.01.2021;https://www.turnier.de/sport/tournament?id=F4369ADC-62EB-4DCC-97B4-2297AB77F53B;;ja;;Einzel/Doppel;Einzel/Mixed;Einzel/Mixed;Einzel/Mixed;;;;
01.02.2021;01.02.2021; E-RLT BAY Niederbayern/Oberpfalz U11-U17;Rangliste;;DE;Bodenwöhr;Niederbayern/Oberpfalz;;BAY;E-Level;21.01.2021;https://www.turnier.de/sport/tournament?id=F168CFCE-19E0-485D-BD89-92A7F1AD4EBF;;ja;;Einzel/Doppel;Einzel/Mixed;Einzel/Mixed;Einzel/Mixed;;;;
01.02.2021;01.02.2021; D-RLT SAH  U15 (Landesrangliste);Rangliste;;DE;06217 Merseburg;;Landesrangliste;SAH;E-Level;25.01.2021;;;ja;;;;Einzel/Doppel;;;;;
01.02.2021;02.02.2021;1. E-RLT NIS NBV-Kreis Harburg/Lüneburg U9-U19;Rangliste;1;DE;Brietlingen;NBV-Kreis Harburg/Lüneburg;;NIS;E-Level;23.01.2021;https://www.turnier.de/sport/tournament?id=B57C6B3E-5728-4E50-8DA8-EE67DD11D668;https://www.nbv-online.de/ausschreibung/200201-02-DBV-Jgd-ERTE-U9-U19-Brietlingen.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;;
01.02.2021;02.02.2021;1. C-RLT NRW U11-U19 (1. C-DRLT Nord 2 (Verbands-DRLT));Rangliste;1;DE;Hamm;Nord 2;1. C-DRLT Nord 2 (Verbands-DRLT);NRW;C1-Level;21.01.2021;https://www.turnier.de/sport/tournament?id=869A2544-9B16-4A8B-9792-BC4DEFFCC343;https://www.badminton-nrw.de/index.php?id=1735;nein;;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;;;
01.02.2021;02.02.2021;1. C-RLT NRW U11-U19 (1. Verbands-DRLT);Rangliste;1;DE;Mülheim;Nord 1;1. Verbands-DRLT;NRW;C1-Level;21.01.2021;https://dbv.turnier.de/sport/tournament?id=DEC74827-1461-4572-AD38-6DFF42F8AA07;https://www.badminton-nrw.de/fileadmin/jbezirkn1/RLT/2021/Turnierausschreibungen_2021_homepage.pdf;ja;;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;;;
01.02.2021;02.02.2021;1. D-RLT NIS NBV-Bezirk Braunschweig U11-U19;Rangliste;1;DE;Braunschweig;NBV-Bezirk Braunschweig;;NIS;D1-Level;23.01.2021;https://www.turnier.de/sport/tournament?id=BA874D41-9D49-4E79-9D61-9C91C9FE0A12;https://www.nbv-online.de/ausschreibung/200201-02-DBV-Jgd-DRTE-U11-U19-Braunschweig.pdf;nein;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
01.02.2021;01.02.2021;1. D-RLT NIS NBV-Bezirk Weser-Ems U9-U19;Rangliste;1;DE;Wildeshausen;NBV-Bezirk Weser-Ems;;NIS;D1-Level;23.01.2021;https://www.turnier.de/sport/tournament?id=A2693AA4-4AF5-456E-841A-FFFAAE7E62B1;https://www.nbv-online.de/ausschreibung/200201-DBV-Jgd-DRTE-U9-U19-Wildeshausen.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;;
01.02.2021;02.02.2021;1. E-RLT NIS NBV-Kreis Region Hannover U9-U19;Rangliste;1;DE;Hannover-Bemerode;NBV-Kreis Region Hannover;;NIS;E-Level;23.01.2021;https://www.turnier.de/sport/tournament?id=706F706A-BC37-43FC-A3FB-7DD1AA8F799E;https://www.nbv-online.de/ausschreibung/200201-02-DBV-Jgd-ERTE-U9-U19-Hannover-Bemerode2.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;;
01.02.2021;02.02.2021;2. C-RLT BAW U11-U19;Rangliste;2;DE;Esslingen;;;BAW;C1-Level;07.01.2021;https://www.turnier.de/sport/tournament?id=DA34C30C-4917-4577-84B4-A21DD10EAB79;https://bwbv.de/jugend/bw/main-files/2021/2021-bwbv-c-rlt-2-esslingen/2021-c-rlt-2-esslingen_ausschreibung.pdf;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;
01.02.2021;02.02.2021;2. A-RLT U11/U13 (Babolat-Berlin-Cup 2021);Rangliste;2;DE;Berlin;;Babolat-Berlin-Cup 2021;DBV;A-Level;04.01.2021;;https://cloud.badminton.de/index.php/s/6dyopIGjThOhGd7;nein;;Einzel/Doppel;Einzel/Doppel;;;;;;
02.02.2021;02.02.2021;1. C-RLT NRW U11-U19 (1. Verbands-DRLT Süd 2);Rangliste;1;DE;Köln;Süd 2;1. Verbands-DRLT Süd 2;NRW;C1-Level;21.01.2021;https://www.turnier.de/sport/tournament?id=81CA9992-361B-4836-B728-C47A2FABDC97;;ja;;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;;;
04.02.2021;08.02.2021;The 29th Fajr Badminton International Challenge 2021;Rangliste;;IRI;Shiraz;;;BWF;International Challenge;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
06.02.2021;09.02.2021;10th MULTI ALARM Hungarian International Junior Championships 2021;Rangliste;;HUN;Pécs;;;BWF;Junior International Series;;;;nein;;;;;;Einzel/Doppel/Mixed;;;
07.02.2021;09.02.2021;Spanish U17 Open;Rangliste;;NN;Benalmádena;;;BEC;BEC-U17;;;;nein;;;;;Einzel/Doppel/Mixed;;;;
